isocode,country,ln_maddison_pcgdp2000,gdp00,gpd01,gdp02,gdp03,gdp04,gdp05,gdp06,gdp07,gdp08,gdp09,gdp10,gdp11,gdp12,gdp13,gdp14,gdp15,gdp16,gdp17,gdp18,gdp19,gdp20,gdp21,gdp22,average_gdp_01_22,ln_export_area,ln_export_pop,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,ethnic_fractionalization,state_dev,land_area,atlantic_distance_minimum_region_n_interaction,atlantic_distance_minimum_region_s_interaction,atlantic_distance_minimum_region_w_interaction,atlantic_distance_minimum_region_e_interaction,atlantic_distance_minimum_region_c_interaction,indian_distance_minimum_region_n_interaction,indian_distance_minimum_region_s_interaction,indian_distance_minimum_region_w_interaction,indian_distance_minimum_region_e_interaction,indian_distance_minimum_region_c_interaction,saharan_distance_minimum_region_n_interaction,saharan_distance_minimum_region_s_interaction,saharan_distance_minimum_region_w_interaction,saharan_distance_minimum_region_e_interaction,saharan_distance_minimum_region_c_interaction,red_sea_distance_minimum_region_n_interaction,red_sea_distance_minimum_region_s_interaction,red_sea_distance_minimum_region_w_interaction,red_sea_distance_minimum_region_e_interaction,red_sea_distance_minimum_region_c_interaction
AGO,Angola,6.670766354,7.554597788,7.562945125,7.657685208,7.653013706,7.721859281,7.826305469,7.899688071,7.994408156,8.063589439,8.035217845,8.040913802,8.03745721,8.08183818,8.09284074,8.103095273,8.076309975,8.014308066,7.977325618,7.929430023,7.88842974,7.797712244,7.777972715,7.777004699,7.9219227,7.967493534,14.39925003,0,0,0,1,0,0,0,0,8,17.54141998,0,78,14,0.246860057,0,0,1,0,0,0,0,0,1,-6.614334583,0.643125951,-1.701395869,-0.024916954,5.668759823,6.980570793,4.925892353,3.872353554,0.78670001,0.63499999,1.25,0,0,0,0,5.668759823,0,0,0,0,6.980570793,0,0,0,0,4.925892353,0,0,0,0,3.872353554
BDI,Burundi,6.354370117,5.736593945,5.732192394,5.747755997,5.70406961,5.714127678,5.68608945,5.703012581,5.700231713,5.706583047,5.693217174,5.69639434,5.700501015,5.708708055,5.72126488,5.729338231,5.667670299,5.64536197,5.62747651,5.613609408,5.598930265,5.573525672,5.577330092,5.569049616,5.674929634,1.140842676,4.451657772,0,0,0,0,1,0,0,0,16,29.88722038,5,82,17,-4.60517025,0,1,1,0,0,0,0,1,0,-2.633922815,-9.2103405,-6.907755375,3.036856174,10.62621403,2.570375443,3.718741655,2.215323687,0.295100003,0.995000005,0.0278,0,0,0,10.62621403,0,0,0,0,2.570375443,0,0,0,0,3.718741655,0,0,0,0,2.215323687,0
BEN,Benin,7.187657356,6.789793685,6.811627238,6.826998091,6.830711436,6.84379065,6.829003722,6.837085081,6.866469629,6.884796904,6.87829142,6.869862438,6.869788153,6.887628705,6.928075649,6.960450918,6.948563696,6.951916591,6.977619001,7.013220312,7.050752166,7.060226521,7.101739882,7.135374633,6.930108158,8.30413723,13.30897045,0,0,1,0,0,0,0,0,6,2.342639923,13,78,18,0.068402752,0,13,1,0,0,0,1,0,0,-13.81551075,-3.531555176,-6.907755375,1.214195848,5.120651722,9.233961105,2.834785223,3.901736259,0.787199974,0.694999993,0.113,0,0,5.120651722,0,0,0,0,9.233961105,0,0,0,0,2.834785223,0,0,0,0,3.901736259,0,0
BFA,Burkina Faso,6.748759747,6.063430197,6.097061983,6.108922933,6.153008364,6.165438822,6.217019689,6.24644928,6.256412508,6.283357077,6.283232326,6.334924415,6.369351992,6.4015635,6.427789525,6.440350272,6.449089826,6.477614097,6.509144322,6.545413697,6.571787315,6.563936976,6.604510954,6.596559341,6.380948844,6.413822174,11.72428608,0,0,1,0,0,0,0,0,12,-1.742920041,0,67,9,-4.60517025,0,42,1,0,0,0,1,0,0,-2.164328098,-9.2103405,-6.907755375,0.908565402,4.774938107,9.299419403,2.763519287,4.239375114,0.737699986,0.338,0.274,0,0,4.774938107,0,0,0,0,9.299419403,0,0,0,0,2.763519287,0,0,0,0,4.239375114,0,0
BWA,Botswana,8.37747097,8.500501068,8.482970987,8.523227989,8.550926038,8.560140511,8.586722832,8.648260024,8.684920422,8.696620892,8.523569542,8.599380581,8.645473452,8.624554426,8.710784083,8.746918525,8.677565206,8.726844519,8.746372053,8.766971874,8.77733471,8.667490481,8.763293553,8.803512099,8.663819075,-2.302585125,3.912023067,0,1,0,0,0,0,0,0,24,23.82041931,0,74,-4,-4.60517025,0,0,0,1,0,1,0,0,0,-3.705089569,-9.2103405,2.186849356,-2.075029373,5.686335087,5.764575481,5.856533051,4.299600124,0.4102,0.893000007,0.6,0,5.686335087,0,0,0,0,5.764575481,0,0,0,0,5.856533051,0,0,0,0,4.299600124,0,0,0
CAF,Central African Republic,6.472346306,6.099877808,6.121040835,6.134477906,6.054813879,6.091344352,6.077872183,6.104364807,6.130674307,6.130274857,6.191110223,6.215666093,6.241433589,6.282049083,5.823536029,5.825115896,5.863289511,5.892247155,5.917826433,5.935589927,5.943885521,5.927504323,5.916149158,5.899049743,6.042282502,1.17131424,8.05205822,0,0,1,0,0,0,0,0,4,20.48057938,5,72,14,-4.60517025,0,8,1,0,0,0,0,0,1,-3.316046238,-9.2103405,-1.849576473,-0.47390452,5.642055988,8.772294998,2.840084076,2.293167353,0.82950002,0.143999994,0.623,0,0,0,0,5.642055988,0,0,0,0,8.772294998,0,0,0,0,2.840084076,0,0,0,0,2.293167353
CIV,Ivory Coast,7.189922333,7.501038367,7.453072726,7.400282678,7.327704874,7.335683992,7.32292023,7.328590367,7.31793565,7.343348667,7.357569681,7.402643597,7.326690788,7.379576583,7.461154754,7.527587056,7.571258331,7.614723495,7.660351152,7.681981603,7.71981522,7.711956002,7.75506162,7.795772833,7.5043338,5.096793175,10.8436985,0,0,1,0,0,0,0,0,6,-5.555550098,41,82,15,0.46961531,0,20,1,0,0,0,1,0,0,-2.972710609,-3.270892143,-4.228216171,0.472122937,4.185695648,9.457084656,3.353073597,4.793966293,0.8204,0.082000002,0.322,0,0,4.185695648,0,0,0,0,9.457084656,0,0,0,0,3.353073597,0,0,0,0,4.793966293,0,0
CMR,Cameroon,7.016609669,7.036697619,7.052764639,7.069765002,7.095570478,7.136239463,7.130945935,7.141143697,7.155702644,7.155411787,7.152411069,7.152476895,7.157398232,7.174470092,7.195082292,7.220349399,7.243995586,7.258433187,7.264894395,7.276049892,7.282461526,7.257938946,7.264424033,7.273644078,7.189254725,4.944927692,10.33106327,0,0,1,0,0,0,0,0,4,12.74131966,23,75,14,-0.166862696,0,22,1,0,0,0,0,0,1,-4.296488762,-0.87116158,-6.907755375,1.020704269,5.642055988,8.772294998,3.002547741,3.051031113,0.863499999,0.316000015,0.475,0,0,0,0,5.642055988,0,0,0,0,8.772294998,0,0,0,0,3.002547741,0,0,0,0,3.051031113
COG,Congo,7.702556133,7.634525735,7.634250255,7.655646335,7.636065923,7.636264482,7.674973752,7.714271307,7.609027031,7.637051029,7.706964908,7.76009106,7.749469057,7.816538618,7.785321977,7.825764461,7.806023745,7.691277303,7.6097927,7.562538031,7.550167669,7.462118635,7.44905329,7.440893526,7.661294018,5.623267174,12.3910675,0,0,1,0,0,0,0,0,4,15.22630024,0,71,12,-0.704912066,0,1,1,0,0,0,0,0,1,-3.967561483,1.000878453,-6.907755375,-0.360961437,5.527229309,7.923528194,3.697363138,3.227006912,0.87470001,0.536000013,0.342,0,0,0,0,5.527229309,0,0,0,0,7.923528194,0,0,0,0,3.697363138,0,0,0,0,3.227006912
COM,Comoros,6.364750862,7.091851412,7.094657314,7.09720961,7.098399212,7.098262503,7.106598951,7.112720926,7.10064721,7.119354707,7.130770345,7.147010462,7.166423792,7.176233913,7.198481009,7.19780183,7.187609374,7.198578315,7.215556977,7.232283521,7.231013623,7.210046731,7.211954301,7.217280558,7.162547049,-2.302585125,3.912023067,0,0,1,0,0,0,0,0,11,43.4977684,69,78,19,5.054218292,1,99,1,0,0,0,0,1,0,-13.81551075,-9.2103405,-6.907755375,-2.302585125,10.13065243,1.754229426,4.845692635,2.609506369,0,1,0.00217,0,0,0,10.13065243,0,0,0,0,1.754229426,0,0,0,0,4.845692635,0,0,0,0,2.609506369,0
